Bandgap (eV),Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),J0 (mA/cm^2)
0.469,0.27983782991,66.7558159148,70.8651129642,13.2381719073,0.00132870179411
0.47,0.280733716336,66.7558159148,70.9257776915,13.2919221729,0.00128344420189
0.471,0.281629811943,66.7558159148,70.985644564,13.345604913,0.0012397181489
0.472,0.28252611588,66.7558159148,71.0447203298,13.3992199529,0.0011974721888
0.473,0.283422627301,66.7558159148,71.103011655,13.4527671184,0.00115665658878
0.474,0.284319345364,66.7558159148,71.1605251257,13.5062462354,0.00111722327312
0.475,0.285216269235,66.7558159148,71.2198237297,13.56014388,0.00107912576846
0.476,0.286113398083,66.7558159148,71.2785973415,13.6140220159,0.0010423191509
0.477,0.287010731085,66.7558159148,71.3366087935,13.6678342442,0.00100675999488
0.478,0.287908267421,66.7558159148,71.3938644227,13.721580398,0.000972406323662
0.479,0.288806006277,66.7558159148,71.4503704906,13.7752603103,0.000939217561443
0.48,0.289703946846,66.7558159148,71.5075607303,13.8291498936,0.000907154487059
0.481,0.290602088322,66.7558159148,71.5652991096,13.8832239735,0.000876179189176
0.482,0.291500429908,66.7558159148,71.6223028577,13.9372339022,0.000846255022961
0.483,0.292398970811,66.7558159148,71.6785780022,13.9911795193,0.000817346568162
0.484,0.293297710242,66.7558159148,71.7341305006,14.0450606651,0.000789419588568
0.485,0.294196647418,66.7558159144,71.7891537284,14.0989140008,0.000762440992791
0.486,0.295095781561,66.7558159138,71.8459108569,14.1531843885,0.000736378796332
0.487,0.295995111897,66.7558159137,71.9019595496,14.2073923448,0.000711202084902
0.488,0.296894637594,66.7558157522,71.9573055409,14.2615376777,0.000686880978926
0.489,0.297794357909,66.755815481,72.0119545029,14.3156202457,0.000663386599233
0.49,0.298694272069,66.7558150661,72.0659120405,14.3696398868,0.000640691033852
0.491,0.299594371784,66.7557950497,72.1205844189,14.4238720206,0.000618767305917
0.492,0.30049459366,66.7555936688,72.1757225454,14.4782298024,0.000597589342611
0.493,0.301394912148,66.7551468769,72.2301766809,14.5324671418,0.000577131945137
0.494,0.302295058797,66.7537633994,72.2839351957,14.586415867,0.000557370759681
